cell,vertex,x,y
108,2,1.3999999999999999,-1
109,0,-0.59999999999999998,-2.6000000000000001
109,1,0.20000000000000001,-2.7999999999999998
109,2,0.40000000000000002,-2.7999999999999998
110,0,-0.40000000000000002,-2.6000000000000001
110,1,0.40000000000000002,-2.7999999999999998
110,2,0,-2.6000000000000001
111,0,0.20000000000000001,-2.6000000000000001
111,1,0.40000000000000002,-2.6000000000000001
111,2,0.80000000000000004,-2.3999999999999999
112,0,-0.59999999999999998,-2.6000000000000001
112,1,0.40000000000000002,-2.7999999999999998
112,2,-0.40000000000000002,-2.6000000000000001
113,0,1,-2.7999999999999998
113,1,1.3999999999999999,-2.6000000000000001
113,2,1,-2.6000000000000001
114,0,0.20000000000000001,-2.2000000000000002
114,1,0.80000000000000004,-2.3999999999999999
114,2,1,-2
115,0,0,-2.6000000000000001
115,1,0.40000000000000002,-2.7999999999999998
115,2,0.20000000000000001,-2.6000000000000001
116,0,3.2000000000000002,-1.3999999999999999
116,1,3.3999999999999999,-1.3999999999999999
116,2,4,-1
117,0,2,-2
117,1,3.2000000000000002,-1.3999999999999999
117,2,2.3999999999999999,-1.6000000000000001
118,0,2,-2
118,1,2.3999999999999999,-2
118,2,3.2000000000000002,-1.3999999999999999
119,0,-2.7999999999999998,-1
119,1,-2.6000000000000001,-1.2
119,2,-1.6000000000000001,-1.2
119,3,-1.3999999999999999,-1
120,0,-3.7999999999999998,-1.2
120,1,-3.3999999999999999,-1.6000000000000001
120,2,-3.3999999999999999,-1.3999999999999999
121,0,-3.3999999999999999,-1.6000000000000001
121,1,-2.7999999999999998,-1.6000000000000001
121,2,-3,-1.2
122,0,-4,-1
122,1,-3.6000000000000001,-1
122,2,-3.7999999999999998,-0.80000000000000004
123,0,-3.6000000000000001,-1.2
123,1,-3.3999999999999999,-1.3999999999999999
123,2,-3,-1.2
124,0,-3.3999999999999999,-1.6000000000000001
124,1,-3,-1.2
124,2,-3.3999999999999999,-1.3999999999999999
125,0,-2.2000000000000002,-2.2000000000000002
125,1,-1,-2.3999999999999999
125,2,-1.2,-2.2000000000000002
126,0,-2.2000000000000002,-0.20000000000000001
126,1,-1.8,-0.59999999999999998
126,2,-1.6000000000000001,-0.40000000000000002
127,0,1.6000000000000001,1.2
127,1,2,0.80000000000000004
127,2,2.2000000000000002,0.80000000000000004
128,0,-3.6000000000000001,-1
128,1,-3,-1.2
128,2,-3.2000000000000002,-0.80000000000000004
129,0,-3.2000000000000002,-0.80000000000000004
129,1,-3,-1.2
129,2,-2.7999999999999998,-1
130,0,-3.6000000000000001,-1
130,1,-3.2000000000000002,-0.80000000000000004
