cell,vertex,x,y
32,1,-4.625,5.5
32,2,-4.75,5.75
33,0,-4.625,3.5
33,1,-4.5,2.875
33,2,-4.5,3.125
34,0,-4.875,5.75
34,1,-4.625,5.25
34,2,-4.75,5.625
35,0,-4.625,3.375
35,1,-4.5,2.75
35,2,-4.5,2.875
36,0,-4.75,5.625
36,1,-4.625,5.25
36,2,-4.625,5.375
37,0,-4.625,3.5
37,1,-4.5,3.125
37,2,-4.375,2.875
38,0,-4.375,2.125
38,1,-4.25,1.75
38,2,-4.25,2.375
39,0,-4.75,5.75
39,1,-4.625,5.5
39,2,-4.375,5.375
40,0,-5,6
40,1,-4.5,5.625
40,2,-4.125,5.375
41,0,-4.75,5.625
41,1,-4.5,5.25
41,2,-4.625,5.5
42,0,-4.75,4.75
42,1,-4.5,4.25
42,2,-4.5,4.875
43,0,-4.625,5.25
43,1,-4.5,4.875
43,2,-4.375,5
44,0,-4.5,2.5
44,1,-4.375,1.625
44,2,-4.375,1.75
45,0,-4.625,3.5
45,1,-4.375,2.875
45,2,-4.625,4
46,0,-4.5,2.5
46,1,-4.375,1.75
46,2,-4.375,1.875
47,0,-4.75,5.25
47,1,-4.5,4.875
47,2,-4.625,5.125
48,0,-4.5,2.5
48,1,-4.375,2.125
48,2,-4.5,2.625
49,0,-4.625,4
49,1,-4.375,2.875
49,2,-4.375,3.375
50,0,-4.5,2.5
50,1,-4.375,1.875
50,2,-4.375,2.125
51,0,-4.75,4.75
51,1,-4.5,4
51,2,-4.5,4.25
52,0,-4.625,4
52,1,-4.375,3.375
52,2,-4.5,4
53,0,-4.625,5.125
53,1,-4.5,4.875
53,2,-4.625,5.25
54,0,-4.5,2.75
54,1,-4.375,2.125
54,2,-4.5,2.875
55,0,-4.625,5.25
55,1,-4.5,5.25
55,2,-4.625,5.375
56,0,-4.5,2.625
56,1,-4.375,2.125
56,2,-4.5,2.75
57,0,-4.5,5.625
57,1,-4,5.25
57,2,-4.125,5.375
58,0,-4.5,4
58,1,-4.25,3.75
58,2,-4.5,4.25
59,0,-4.5,2.875
59,1,-4.375,2.125
59,2,-4.375,2.875
60,0,-4.375,5.375
60,1,-4.125,5.25
60,2,-4.25,5.375
61,0,-4.375,5.375
61,1,-4.25,4.875
61,2,-4.125,5.125
62,0,-4.5,4.875
62,1,-4.125,4.5
62,2,-4.375,5
63,0,-4.5,2.875
63,1,-4.375,2.875
63,2,-4.5,3.125
64,0,-4.125,0.375
64,1,-4,-0.125
64,2,-4.125,0.625
65,0,-4.375,1.625
65,1,-4.25,0.75
65,2,-4.25,0.875
66,0,-4.125,5.375
66,1,-3.5,4.875
66,2,-3.625,5
67,0,-4.375,1.625
67,1,-4.25,1
67,2,-4.375,1.75
68,0,-4.375,1.875
68,1,-4.25,1.25
68,2,-4.375,2.125
69,0,-4.375,1.625
69,1,-4.25,0.875
69,2,-4.25,1
70,0,-4.25,1
70,1,-4.125,0.625
70,2,-4.25,1.25
71,0,-4.5,5.25
71,1,-4.375,5
71,2,-4.25,4.875
72,0,-4.375,1.75
72,1,-4.25,1.25
72,2,-4.375,1.875
73,0,-4.5,5.625
73,1,-4.375,5.5
73,2,-4,5.25
74,0,-4.375,1.75
74,1,-4.25,1
74,2,-4.25,1.25
75,0,-4.375,2.875
75,1,-4.25,2.375
75,2,-4,2.5
