x,y,ell_A,ell_A_exact
4.5,7.5,0.0022191618516860892,4959025472/2234638932817
4.5,8,0.0022219188079882521,44686676465/20111750395353
4.5,8.5,0.0022246757642904154,44742123682/20111750395353
4.5,9,0.0022274327205925783,14932523633/6703916798451
4.5,9.5,0.0022301896768947413,44853018116/20111750395353
4.5,10,0.0022329466331969046,44908465333/20111750395353
4.5,10.5,0.0022357035894990675,14987970850/6703916798451
4.5,11,0.0022384605458012309,45019359767/20111750395353
4.5,11.5,0.0022412175021033938,45074806984/20111750395353
4.5,12,0.0022439744584055571,5014472689/2234638932817
4.5,12.5,0.0022467314147077201,45185701418/20111750395353
4.5,13,0.0022494883710098834,45241148635/20111750395353
5,-1,0.0022036680238553697,44319621250/20111750395353
5,-0.5,0.0022064249801575326,4930563163/2234638932817
5,0,0.002209181936459696,44430515684/20111750395353
5,0.5,0.0022119388927618589,44485962901/20111750395353
5,1,0.0022146958490640222,14847136706/6703916798451
5,1.5,0.0022174528053661852,44596857335/20111750395353
5,2,0.0022202097616683485,44652304552/20111750395353
5,2.5,0.0022229667179705114,14902583923/6703916798451
5,3,0.0022257236742726748,44763198986/20111750395353
5,3.5,0.0022284806305748377,44818646203/20111750395353
5,4,0.0022312375868770011,4986010380/2234638932817
5,4.5,0.002233994543179164,44929540637/20111750395353
5,5,0.0022367514994813269,44984987854/20111750395353
5,5.5,0.0022395084557834902,15013478357/6703916798451
5,6,0.0022422654120856532,45095882288/20111750395353
5,6.5,0.0022450223683878165,45151329505/20111750395353
5,7,0.0022477793246899794,15068925574/6703916798451
5,7.5,0.0022505362809921428,45262223939/20111750395353
5,8,0.0022532932372943057,45317671156/20111750395353
5,8.5,0.002256050193596469,5041457597/2234638932817
5,9,0.002258807149898632,45428565590/20111750395353
5,9.5,0.0022615641062007953,45484012807/20111750395353
5,10,0.0022643210625029582,15179820008/6703916798451
5,10.5,0.0022670780188051216,45594907241/20111750395353
5,11,0.0022698349751072845,45650354458/20111750395353
5.5,-1,0.0022350424531614233,14983538647/6703916798451
5.5,-0.5,0.0022377994094635867,412899662/184511471517
5.5,0,0.0022405563657657496,45061510375/20111750395353
5.5,0.5,0.0022433133220679125,5012995288/2234638932817
5.5,1,0.0022460702783700759,45172404809/20111750395353
5.5,1.5,0.0022488272346722388,45227852026/20111750395353
5.5,2,0.0022515841909744021,15094433081/6703916798451
5.5,2.5,0.0022543411472765651,45338746460/20111750395353
5.5,3,0.0022570981035787284,45394193677/20111750395353
5.5,3.5,0.0022598550598808913,15149880298/6703916798451
5.5,4,0.0022626120161830547,45505088111/20111750395353
5.5,4.5,0.0022653689724852176,45560535328/20111750395353
5.5,5,0.0022681259287873809,5068442505/2234638932817
5.5,5.5,0.0022708828850895439,45671429762/20111750395353
5.5,6,0.0022736398413917072,45726876979/20111750395353
5.5,6.5,0.0022763967976938701,15260774732/6703916798451
5.5,7,0.0022791537539960331,45837771413/20111750395353
5.5,7.5,0.0022819107102981964,45893218630/20111750395353
5.5,8,0.0022846676666003593,15316221949/6703916798451
5.5,8.5,0.0022874246229025227,46004113064/20111750395353
6,-1,0.002266416882467477,45581610632/20111750395353
6,-0.5,0.0022691738387696403,45637057849/20111750395353
6,0,0.0022719307950718032,15230835022/6703916798451
6,0.5,0.0022746877513739666,45747952283/20111750395353
6,1,0.0022774447076761295,45803399500/20111750395353
6,1.5,0.0022802016639782928,5095427413/2234638932817
6,2,0.0022829586202804558,45914293934/20111750395353
6,2.5,0.0022857155765826187,45969741151/20111750395353
6,3,0.002288472532884782,15341729456/6703916798451
6,3.5,0.002291229489186945,46080635585/20111750395353
6,4,0.0022939864454891083,46136082802/20111750395353
6,4.5,0.0022967434017912712,15397176673/6703916798451
6,5,0.0022995003580934346,46246977236/20111750395353
6,5.5,0.0023022573143955975,46302424453/20111750395353
6,6,0.0023050142706977608,5150874630/2234638932817
6.5,-1,0.0022977913117735306,46212605323/20111750395353
6.5,-0.5,0.0023005482680756939,15422684180/6703916798451
6.5,0,0.0023033052243778569,46323499757/20111750395353
6.5,0.5,0.0023060621806800202,46378946974/20111750395353
6.5,1,0.0023088191369821831,15478131397/6703916798451
6.5,1.5,0.0023115760932843465,46489841408/20111750395353
6.5,2,0.0023143330495865094,46545288625/20111750395353
6.5,2.5,0.0023170900058886727,5177859538/2234638932817
6.5,3,0.0023198469621908357,46656183059/20111750395353
6.5,3.5,0.002322603918492999,46711630276/20111750395353
7,-1,0.0023291657410795846,5204844446/2234638932817
7,-0.5,0.0023319226973817476,46899047231/20111750395353
7,0,0.0023346796536839105,46954494448/20111750395353
7,0.5,0.0023374366099860738,15669980555/6703916798451
7,1,0.0023401935662882367,47065388882/20111750395353
